scenario,problem_type,Δ Diversification (count_fact-base),Δ Fast Follower (count_fact-base),Δ Maintain (count_fact-base),Δ Niche Focus (count_fact-base),Δ Open Innovation (count_fact-base),Δ Technology Leadership (count_fact-base)
1_founder_period,generic,0.0,0.109375,0.0,0.0,0.025000000000000022,-0.13437500000000002
1_founder_period,specific,0.0,0.16145833333333334,0.0,0.0,0.11979166666666666,-0.28125
2_roadster_launch,generic,0.0,0.0,0.0,0.0,-0.10416666666666666,0.10416666666666663
2_roadster_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0
3_model_s_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0
3_model_s_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0
4_model_x_launch,generic,0.0,0.0,-0.10416666666666669,-0.02083333333333333,0.0,0.125
4_model_x_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0
5_model_3_mass_market,generic,0.0,0.0,0.07916666666666666,0.0,-0.04166666666666663,-0.03749999999999998
5_model_3_mass_market,specific,0.0,0.0,0.02083333333333337,0.0,0.0,-0.02083333333333326
6_energy_infra,generic,0.16666666666666663,0.0,0.0,0.0,0.0,-0.16666666666666669
6_energy_infra,specific,0.08333333333333337,0.0,0.0,0.0,0.0,-0.08333333333333331
