scenario,problem_type,Δ Diversification (randomized_numbers-base),Δ Fast Follower (randomized_numbers-base),Δ Maintain (randomized_numbers-base),Δ Niche Focus (randomized_numbers-base),Δ Open Innovation (randomized_numbers-base),Δ Technology Leadership (randomized_numbers-base)
1_founder_period,generic,0.0,0.010416666666666685,0.0,0.0,0.03541666666666671,-0.04583333333333334
1_founder_period,specific,0.0,0.010416666666666657,0.0,0.0,-0.01874999999999999,0.008333333333333304
2_roadster_launch,generic,0.0,0.0,0.0,0.0,0.020833333333333315,-0.02083333333333337
2_roadster_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0
3_model_s_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0
3_model_s_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0
4_model_x_launch,generic,0.0,0.0,-0.0625,-0.024999999999999994,0.0,0.08750000000000002
4_model_x_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0
5_model_3_mass_market,generic,0.0,0.0,0.0,0.0,-0.1291666666666666,0.1291666666666667
5_model_3_mass_market,specific,0.0,0.0,0.041666666666666685,0.0,0.0625,-0.10416666666666663
6_energy_infra,generic,0.08333333333333326,0.0,0.0,0.0,0.0,-0.08333333333333337
6_energy_infra,specific,0.02083333333333337,0.0,0.0,0.0,0.0,-0.020833333333333315
