scenario,problem_type,Δ Aggressively expand into energy storage and solar products (competitive_dynamics-base),Δ Co-development (competitive_dynamics-base),Δ Co-development and partnerships (competitive_dynamics-base),"Δ Co-development, Open Innovation (competitive_dynamics-base)",Δ D - Niche Focus (competitive_dynamics-base),Δ D → Niche Focus (competitive_dynamics-base),Δ Delay full-scale launch (competitive_dynamics-base),"Δ Delay full-scale launch, focus on stabilizing operations and cash position (competitive_dynamics-base)",Δ Diversification (competitive_dynamics-base),Δ Fast Follower (competitive_dynamics-base),Δ Maintain (competitive_dynamics-base),Δ N/A (competitive_dynamics-base),Δ Niche Focus (competitive_dynamics-base),Δ Open Innovation (competitive_dynamics-base),Δ Restrict Deliveries to Priority Regions/Customers First (competitive_dynamics-base),"Δ Restrict Deliveries to Priority Regions/Customers First (e.g., North America Only) (competitive_dynamics-base)",Δ Restrict deliveries to priority regions/customers first (competitive_dynamics-base),"Δ Restrict deliveries to priority regions/customers first (e.g., North America only) (competitive_dynamics-base)",Δ Restriction of deliveries (competitive_dynamics-base),Δ Retrenchment (competitive_dynamics-base),Δ Technology Leadership (competitive_dynamics-base)
1_founder_period,generic,0.0,0.0,-5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,-0.00020833333333333337,0.00015624999999999998,0.00020833333333333332,-0.010312500000000002,-0.06145833333333328,-0.0001041666666666552,0.0,0.0,0.0,0.0,0.0,-0.06692708333333333,0.13869791666666667
1_founder_period,specific,0.0,5.208333333333334e-05,0.0,-5.208333333333334e-05,0.0,0.0,0.0,0.0,-0.00010416666666666667,0.0003645833333333334,-0.00041666666666666664,0.0023437499999999986,-0.13989583333333333,-0.0221875,0.0,0.0,0.0,0.0,0.0,-0.023958333333333335,0.18385416666666665
2_roadster_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049583333333333326,-0.1325,-0.020000000000000004,0.08479166666666668,0.014583333333333334,0.0,0.0,0.0,0.0,0.0,-0.07354166666666664,0.07708333333333334
2_roadster_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.00020833333333333335,0.0004166666666666667,0.0,0.048541666666666664,-0.05729166666666666,0.005208333333333336,0.034999999999999996,0.00375,0.0,0.0,0.0,0.0,0.0,-0.06979166666666664,0.03395833333333331
3_model_s_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03541666666666665,0.032916666666666664,0.005833333333333329,0.06208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008333333333333334,-0.06458333333333334
3_model_s_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01041666666666663,0.009583333333333333,0.006249999999999995,-0.005,0.0004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.021666666666666667
4_model_x_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.040416666666666656,-0.0014583333333333332,0.00375,-0.011874999999999997,0.17458333333333337,0.0,0.0,0.0,0.0,0.0,-0.22354166666666667,0.017291666666666667
4_model_x_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014583333333333334,0.10895833333333334,-0.008958333333333334,0.020624999999999998,-0.013958333333333323,0.03250000000000003,0.0,0.0,0.0,0.0,0.0,-0.22937500000000002,0.08875
5_model_3_mass_market,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006250000000000001,-0.0006250000000000977,-0.003958333333333334,0.0024999999999999996,0.0037499999999999756,0.0,-0.00020833333333333335,-0.001875,-0.0004166666666666667,0.0,0.0006249999999999999,-0.00041666666666666675
5_model_3_mass_market,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000625,-0.0010416666666666667,-0.020625000000000004,-0.002083333333333333,-0.0004166666666666663,0.001666666666666667,-0.00020833333333333335,0.0,-0.0008333333333333333,-0.000625,-0.00020833333333333335,0.00020833333333333337,0.023541666666666655
6_energy_infra,generic,0.0004166666666666667,0.0,0.0,0.0,-0.00020833333333333335,0.0,0.0,0.0,0.012083333333333335,-0.018958333333333334,0.0,0.008125,0.00020833333333333337,0.05229166666666665,0.0,0.0,0.0,0.0,0.0,0.0,-0.05395833333333336
6_energy_infra,specific,0.0,0.0,0.0,0.0,0.0,-0.00020833333333333335,0.0,0.0,-0.0010416666666666075,0.005000000000000001,0.0,-0.006249999999999999,0.0,0.061875,0.0,0.0,0.0,0.0,0.0,0.0,-0.05937499999999998
