scenario,problem_type,Δ Diversification (count_fact-base),Δ Fast Follower (count_fact-base),Δ Maintain (count_fact-base),Δ N/A (count_fact-base),Δ Niche Focus (count_fact-base),Δ Open Innovation (count_fact-base),Δ Retrenchment (count_fact-base),Δ Technology Leadership (count_fact-base)
1_founder_period,generic,0.013028846153846155,0.0,0.0,-0.04723557692307692,0.043497596153846185,0.010913461538461539,0.020576923076923076,-0.04078125000000002
1_founder_period,specific,3.6057692307692006e-05,0.0,0.0,-0.03133413461538462,0.03516826923076927,-0.008149038461538461,0.0024519230769230764,0.0018269230769230593
2_roadster_launch,generic,0.0,0.0,-0.11654411764705885,0.05882352941176472,0.0,0.0,0.0,0.057720588235294135
2_roadster_launch,specific,0.0,0.0,-0.011397058823529411,-0.02904411764705883,0.0,0.0,0.0,0.0404411764705882
3_model_s_launch,generic,0.0,0.02777777777777779,0.0,-0.007638888888888862,0.0,0.0,0.0,-0.020138888888888873
3_model_s_launch,specific,0.0,0.05277777777777781,0.0,-0.021527777777777757,0.0,0.0,0.0,-0.03125
4_model_x_launch,generic,0.0,-0.13124999999999998,0.0,0.041360294117647065,0.0,0.0,0.0,0.08988970588235293
4_model_x_launch,specific,0.0,-0.012867647058823595,0.0,0.018014705882352933,0.0,0.0,0.0,-0.005147058823529421
5_model_3_mass_market,generic,0.0,0.0,0.022977941176470562,0.0422794117647059,0.0,0.006433823529411764,0.0,-0.07169117647058826
5_model_3_mass_market,specific,0.0,0.0,0.02941176470588236,0.062316176470588236,0.0,0.0,0.0,-0.0917279411764706
6_energy_infra,generic,-0.07720588235294118,0.45386029411764706,0.0,0.0003676470588235281,0.0,-0.1509191176470588,0.0,-0.2261029411764706
6_energy_infra,specific,-0.09136029411764705,0.4959558823529412,0.0,0.007536764705882354,0.0,-0.16433823529411767,0.0,-0.2477941176470588
