scenario,problem_type,Δ Co-developing an EV platform with a major automaker falls under Open Innovation strategy (opp_focus-base),Δ Co-development (opp_focus-base),Δ Co-development and partnerships (opp_focus-base),"Δ Co-development and partnerships for technology, market, and resources sharing (opp_focus-base)",Δ Co-development of a new technology or product through collaboration with another company (opp_focus-base),"Δ Co-development, Open Innovation (opp_focus-base)",Δ D - Niche Focus (opp_focus-base),Δ D → Niche Focus (opp_focus-base),"Δ Delay full-scale launch, focus on stabilizing operations and cash position (opp_focus-base)",Δ Diversification (opp_focus-base),Δ Fast Follower (opp_focus-base),Δ Maintain (opp_focus-base),Δ N/A (opp_focus-base),Δ Niche Focus (opp_focus-base),Δ Open Innovation (opp_focus-base),Δ Restrict Deliveries (opp_focus-base),Δ Restrict Deliveries to Priority Regions/Customers First (opp_focus-base),"Δ Restrict Deliveries to Priority Regions/Customers First (e.g., North America Only) (opp_focus-base)","Δ Restrict Deliveries to Priority Regions/Customers First (e.g., North America only) (opp_focus-base)",Δ Restrict deliveries to priority regions/customers first (opp_focus-base),"Δ Restrict deliveries to priority regions/customers first (e.g., North America only) (opp_focus-base)",Δ Restriction (opp_focus-base),Δ Restriction of deliveries (opp_focus-base),Δ Retrenchment (opp_focus-base),Δ Technology Leadership (opp_focus-base)
1_founder_period,generic,0.0,0.0,-5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0009895833333333334,0.0005729166666666667,-0.00015624999999999998,-0.009791666666666667,-0.25598958333333327,-0.06354166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07140625,0.399375
1_founder_period,specific,5.208333333333334e-05,0.00010416666666666667,0.0,5.208333333333334e-05,5.208333333333334e-05,-5.208333333333334e-05,0.0,0.0,0.0,0.00015624999999999998,0.00041666666666666664,-0.00020833333333333332,-0.005364583333333332,-0.27270833333333333,-0.08192708333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02369791666666667,0.38312500000000005
2_roadster_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017708333333333333,-0.13437500000000002,-0.017916666666666664,0.007291666666666662,0.005833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014583333333333393,0.12
2_roadster_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020833333333333335,0.0,0.026666666666666665,-0.04791666666666666,-0.016666666666666666,0.0037499999999999964,0.006249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03854166666666664,0.06624999999999998
3_model_s_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07458333333333333,-0.029166666666666664,-0.0029166666666666716,-0.005416666666666667,-0.0004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666668,-0.035
3_model_s_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012499999999999956,-0.006666666666666667,0.016249999999999997,-0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004166666666666667,-0.017499999999999998
4_model_x_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008333333333333334,0.00208333333333334,-0.0024999999999999996,0.021458333333333333,0.017291666666666677,0.12375000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35604166666666665,0.19479166666666667
4_model_x_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03749999999999999,-0.018333333333333333,0.010208333333333333,-0.008124999999999993,-0.012083333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34958333333333336,0.34041666666666665
5_model_3_mass_market,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00041666666666666653,0.02416666666666667,0.003541666666666667,0.0004166666666666663,-0.03354166666666669,0.00020833333333333335,0.0010416666666666667,-0.00020833333333333335,0.0,-0.0006249999999999999,-0.00020833333333333335,0.0,0.0,-0.0008333333333333333,0.006458333333333333
5_model_3_mass_market,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000625,0.010416666666666666,-0.04458333333333331,0.002083333333333333,0.00041666666666666675,0.0008333333333333352,0.0,0.0,0.0,0.00020833333333333335,-0.0006249999999999999,-0.000625,0.00020833333333333335,-0.00020833333333333335,0.00125,0.03
6_energy_infra,generic,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020833333333333335,0.00020833333333333335,0.0,-0.02083333333333337,-0.025,0.0,0.0004166666666666659,-0.00125,-0.09958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14625
6_energy_infra,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.00020833333333333335,-0.00020833333333333335,0.0,-0.044166666666666576,-0.007083333333333334,0.0,-0.019166666666666665,0.0,-0.05729166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12770833333333334
