scenario,problem_type,Δ Co-developing an EV platform with a major automaker (randomized_numbers-base),Δ Co-development (randomized_numbers-base),Δ Co-development and partnerships (randomized_numbers-base),Δ Co-development of EV platform with a major automaker (randomized_numbers-base),Δ Co-development of an EV platform with a major automaker (randomized_numbers-base),Δ Co-development of technology through partnerships (randomized_numbers-base),Δ Co-development with existing major automaker (randomized_numbers-base),"Δ Co-development, Open Innovation (randomized_numbers-base)",Δ D - Niche Focus (randomized_numbers-base),Δ D → Niche Focus (randomized_numbers-base),Δ Diversification (randomized_numbers-base),Δ Fast Follower (randomized_numbers-base),"Δ Fast Follower, Open Innovation, Niche Focus, Diversification, Retrenchment, Maintain, Technology Leadership (randomized_numbers-base)","Δ Fast Follower,Open Innovation (randomized_numbers-base)",Δ G → Maintain (randomized_numbers-base),Δ Maintain (randomized_numbers-base),Δ N/A (randomized_numbers-base),Δ Niche Focus (randomized_numbers-base),Δ Open Innovation (randomized_numbers-base),Δ Restrict Deliveries (randomized_numbers-base),Δ Restrict Deliveries to Priority Regions/Customers First (randomized_numbers-base),"Δ Restrict Deliveries to Priority Regions/Customers First (e.g., North America Only) (randomized_numbers-base)",Δ Restrict deliveries to priority regions/customers first (randomized_numbers-base),"Δ Restrict deliveries to priority regions/customers first (e.g., North America only) (randomized_numbers-base)",Δ Restriction of deliveries (randomized_numbers-base),Δ Retrenchment (randomized_numbers-base),Δ Technology Leadership (randomized_numbers-base)
1_founder_period,generic,0.0,0.00010416666666666667,-5.208333333333334e-05,5.208333333333334e-05,5.208333333333334e-05,0.0,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0006770833333333334,0.0,0.0,0.0,0.00026041666666666666,-0.0067187500000000025,0.004166666666666652,0.0006770833333333282,0.0,0.0,0.0,0.0,0.0,0.0,0.0001041666666666552,0.0006250000000000006
1_founder_period,specific,5.208333333333334e-05,0.00010416666666666667,0.0,0.0,0.0,5.208333333333334e-05,0.0,-5.208333333333334e-05,0.0,0.0,-5.208333333333334e-05,0.0006770833333333334,0.0,0.0,0.0,0.0003645833333333334,-0.0019791666666666673,0.05291666666666667,-0.011302083333333324,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004687500000000004,-0.04031250000000003
2_roadster_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020833333333333335,0.030208333333333334,0.0,0.0,0.0,0.028749999999999998,-0.012708333333333335,-0.01791666666666667,0.0033333333333333305,0.0,0.0,0.0,0.0,0.0,0.0,-0.011458333333333293,-0.020416666666666666
2_roadster_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02208333333333333,0.00020833333333333335,0.00020833333333333335,0.0,0.012708333333333321,0.004791666666666666,-0.003541666666666672,0.0004166666666666659,0.0,0.0,0.0,0.0,0.0,0.0,-0.027708333333333335,-0.009166666666666712
3_model_s_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023333333333333317,0.0,0.0,0.0,0.008750000000000008,-0.02166666666666667,0.011666666666666665,-0.0004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008333333333333334,0.025833333333333333
3_model_s_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666666666666616,0.0,0.0,0.0,0.0,-0.012500000000000002,-0.0008333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004166666666666667,-0.012916666666666667
4_model_x_launch,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,-0.009583333333333333,0.0,0.0,0.0,0.0008333333333333335,0.005833333333333333,-0.003541666666666665,0.05208333333333337,0.0,0.0,0.0,0.0,0.0,0.0,-0.044999999999999984,-0.0014583333333333332
4_model_x_launch,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010416666666666667,-0.0175,0.0,0.0,0.0,-0.008333333333333333,0.0008333333333333335,0.0031250000000000167,0.04208333333333336,0.0,0.0,0.0,0.0,0.0,0.0,-0.012500000000000011,-0.00875
5_model_3_mass_market,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002708333333333333,0.0,0.0,0.0,-0.06437500000000007,0.002291666666666666,0.0010416666666666664,0.031041666666666634,0.000625,0.0008333333333333333,-0.00020833333333333335,-0.00041666666666666675,0.0006249999999999999,0.0,0.0,0.025833333333333333
5_model_3_mass_market,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027083333333333334,0.006041666666666666,0.0,0.0,0.00020833333333333335,-0.08354166666666663,-0.0016666666666666661,0.003333333333333333,0.04958333333333333,0.0,-0.0004166666666666667,0.0,-0.0008333333333333333,-0.00020833333333333332,-0.00020833333333333335,0.0006249999999999999,0.024374999999999994
6_energy_infra,generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020833333333333335,0.0004166666666666667,0.026249999999999996,-0.019375000000000003,0.0,0.0,0.0,0.00020833333333333335,-0.0022916666666666675,-0.0016666666666666666,-0.022291666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018958333333333327
6_energy_infra,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0068749999999999645,-0.005208333333333334,0.0,0.0,0.0,0.0,-0.004166666666666666,-0.00020833333333333332,0.006666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00979166666666667
