model_short,Temperature,mean_context_tvd,mean_firm_identity_max_delta_p,mean_rds_macro
Meta-Llama-3.1-8B-Instruct,0.0,0.3185691340943622,0.17930959260073195,0.10816131890178521
Meta-Llama-3.1-8B-Instruct,0.7,0.32574775559634883,0.16258540871296737,0.15979548219416334
Mistral-7B-Instruct-v0.3,0.0,0.3076151805237871,0.287889890304517,0.14924970104916216
Mistral-7B-Instruct-v0.3,0.7,0.31624970257647156,0.28995947715305287,0.1958373610698713
Qwen2.5-14B-Instruct,0.0,0.3450845029350937,0.4040994654103986,0.17131500013107587
Qwen2.5-14B-Instruct,0.7,0.34880103870343504,0.39384465543280905,0.198771698052264
Yi-1.5-9B-Chat,0.0,0.2378247755672426,0.26515148660997717,0.1314728530449615
Yi-1.5-9B-Chat,0.7,0.2715033333447088,0.3014163493522743,0.17911759685429599
deepseek-llm-7b-chat,0.0,0.335644910032856,0.10328269860941026,0.1091508033496264
deepseek-llm-7b-chat,0.7,0.2628049864049813,0.12317552605229014,0.1531140429297214
