topic_id,n_docs,n_generic,n_specific,generic_pct,specific_pct,top_words,custom_name
0,2452,1237,1215,50.4,49.6,pricing reduce | processes given | distribution targeting | incumbents small | loyalty building | vehicle concept | world transition | ,
1,1914,956,958,49.9,50.1,leader capturing | significant milestones | core mission | growth bold | unique electric | prowess aligning | vehicles suggesting | ones,
2,1905,961,944,50.4,49.6,needed minimizing | values delaying | needs scaling | chaotic | chaotic expansion | deliver vehicles | potentially chaotic | staying ahead,
3,1249,627,622,50.2,49.8,integrating advanced | investments making | indicate capacity | products offerings | refining existing | offerings leveraging | enabled global | enabled,
4,600,294,306,49.0,51.0,companies allowing |  |  |  |  |  |  | ,
5,584,292,292,50.0,50.0,leading electric | new lower | quickly transitioning |  |  |  |  | ,
6,474,237,237,50.0,50.0,challenging provides |  |  |  |  |  |  | ,
7,130,65,65,50.0,50.0, |  |  |  |  |  |  | ,
8,115,57,58,49.6,50.4, |  |  |  |  |  |  | ,
9,97,51,46,52.6,47.4, |  |  |  |  |  |  | ,
10,69,40,29,58.0,42.0, |  |  |  |  |  |  | ,
