Model,Temperature,scenario,semantic_variant,mean_jsd_from_base,n_conditions
01-ai/Yi-1.5-9B-Chat,0.0,1_founder_period,competitive_dynamics,0.026673491211739266,14
01-ai/Yi-1.5-9B-Chat,0.0,1_founder_period,count_fact,0.1077212307067573,14
01-ai/Yi-1.5-9B-Chat,0.0,1_founder_period,opp_focus,0.16207203717228483,14
01-ai/Yi-1.5-9B-Chat,0.0,2_roadster_launch,competitive_dynamics,0.021060845518473422,10
01-ai/Yi-1.5-9B-Chat,0.0,2_roadster_launch,count_fact,0.024761893018237655,10
01-ai/Yi-1.5-9B-Chat,0.0,2_roadster_launch,opp_focus,0.021060845518473422,10
01-ai/Yi-1.5-9B-Chat,0.0,3_model_s_launch,competitive_dynamics,0.10719264641070154,8
01-ai/Yi-1.5-9B-Chat,0.0,3_model_s_launch,count_fact,0.19052597974385452,8
01-ai/Yi-1.5-9B-Chat,0.0,3_model_s_launch,opp_focus,0.05933151200809279,8
01-ai/Yi-1.5-9B-Chat,0.0,4_model_x_launch,competitive_dynamics,0.09132873673401043,10
01-ai/Yi-1.5-9B-Chat,0.0,4_model_x_launch,count_fact,0.13294346057755482,9
01-ai/Yi-1.5-9B-Chat,0.0,4_model_x_launch,opp_focus,0.3000415890177301,8
01-ai/Yi-1.5-9B-Chat,0.0,5_model_3_mass_market,competitive_dynamics,0.04741097010109923,10
01-ai/Yi-1.5-9B-Chat,0.0,5_model_3_mass_market,count_fact,0.013802475715890366,10
01-ai/Yi-1.5-9B-Chat,0.0,5_model_3_mass_market,opp_focus,0.030630067724804255,10
01-ai/Yi-1.5-9B-Chat,0.0,6_energy_infra,competitive_dynamics,0.02366881851653555,10
01-ai/Yi-1.5-9B-Chat,0.0,6_energy_infra,count_fact,0.10534353570519875,10
01-ai/Yi-1.5-9B-Chat,0.0,6_energy_infra,opp_focus,0.01763069495038908,10
01-ai/Yi-1.5-9B-Chat,0.7,1_founder_period,competitive_dynamics,0.030093068004385135,14
01-ai/Yi-1.5-9B-Chat,0.7,1_founder_period,count_fact,0.04519133243709195,14
01-ai/Yi-1.5-9B-Chat,0.7,1_founder_period,opp_focus,0.07341678602681334,14
01-ai/Yi-1.5-9B-Chat,0.7,2_roadster_launch,competitive_dynamics,0.024965905667600763,10
01-ai/Yi-1.5-9B-Chat,0.7,2_roadster_launch,count_fact,0.025048751472100294,10
01-ai/Yi-1.5-9B-Chat,0.7,2_roadster_launch,opp_focus,0.03570850214415111,10
01-ai/Yi-1.5-9B-Chat,0.7,3_model_s_launch,competitive_dynamics,0.08618864323974951,8
01-ai/Yi-1.5-9B-Chat,0.7,3_model_s_launch,count_fact,0.07461332973347734,8
01-ai/Yi-1.5-9B-Chat,0.7,3_model_s_launch,opp_focus,0.04138873920126821,8
01-ai/Yi-1.5-9B-Chat,0.7,4_model_x_launch,competitive_dynamics,0.0648562596923513,10
01-ai/Yi-1.5-9B-Chat,0.7,4_model_x_launch,count_fact,0.1386511323874084,10
01-ai/Yi-1.5-9B-Chat,0.7,4_model_x_launch,opp_focus,0.3848334617963788,10
01-ai/Yi-1.5-9B-Chat,0.7,5_model_3_mass_market,competitive_dynamics,0.04077956581223642,10
01-ai/Yi-1.5-9B-Chat,0.7,5_model_3_mass_market,count_fact,0.03722271054053925,10
01-ai/Yi-1.5-9B-Chat,0.7,5_model_3_mass_market,opp_focus,0.022517630248291013,10
01-ai/Yi-1.5-9B-Chat,0.7,6_energy_infra,competitive_dynamics,0.019543782721959786,10
01-ai/Yi-1.5-9B-Chat,0.7,6_energy_infra,count_fact,0.11327440314626909,10
01-ai/Yi-1.5-9B-Chat,0.7,6_energy_infra,opp_focus,0.0070767333924706115,10
Qwen/Qwen2.5-14B-Instruct,0.0,1_founder_period,competitive_dynamics,0.06922454438839479,14
Qwen/Qwen2.5-14B-Instruct,0.0,1_founder_period,count_fact,0.10177596739337973,14
Qwen/Qwen2.5-14B-Instruct,0.0,1_founder_period,opp_focus,0.2185880244914696,14
Qwen/Qwen2.5-14B-Instruct,0.0,2_roadster_launch,competitive_dynamics,0.06461875817047191,10
Qwen/Qwen2.5-14B-Instruct,0.0,2_roadster_launch,count_fact,0.00997246457886514,10
Qwen/Qwen2.5-14B-Instruct,0.0,2_roadster_launch,opp_focus,0.004284000423251913,10
Qwen/Qwen2.5-14B-Instruct,0.0,3_model_s_launch,competitive_dynamics,0.023859313077548527,8
Qwen/Qwen2.5-14B-Instruct,0.0,3_model_s_launch,count_fact,0.21783913208537692,8
Qwen/Qwen2.5-14B-Instruct,0.0,3_model_s_launch,opp_focus,0.023859313077548527,8
Qwen/Qwen2.5-14B-Instruct,0.0,4_model_x_launch,competitive_dynamics,0.47593426405990397,10
Qwen/Qwen2.5-14B-Instruct,0.0,4_model_x_launch,count_fact,0.1840886585404345,10
Qwen/Qwen2.5-14B-Instruct,0.0,4_model_x_launch,opp_focus,0.5437095997543187,10
Qwen/Qwen2.5-14B-Instruct,0.0,5_model_3_mass_market,competitive_dynamics,0.013792538096930873,10
Qwen/Qwen2.5-14B-Instruct,0.0,5_model_3_mass_market,count_fact,0.013792538096930873,10
Qwen/Qwen2.5-14B-Instruct,0.0,5_model_3_mass_market,opp_focus,0.013760058017413373,10
Qwen/Qwen2.5-14B-Instruct,0.0,6_energy_infra,competitive_dynamics,0.1416883876451948,10
