context_variant,Strategy,mean_delta_specific_minus_generic,consistency_sign,n_conditions
base,Maintain,-0.01934602604574875,0.17419354838709677,310
base,Retrenchment,-0.014578073207164817,0.17096774193548386,310
base,Niche Focus,-0.06094153171450272,0.21935483870967742,310
base,Diversification,0.013456971947590024,0.07741935483870968,310
base,Open Innovation,-0.047493305322567674,0.25806451612903225,310
base,Fast Follower,0.012075805149135829,0.08709677419354839,310
base,Technology Leadership,0.11682615919325806,0.3709677419354839,310
competitive_dynamics,Maintain,-0.008129654415798292,0.16129032258064516,310
competitive_dynamics,Retrenchment,-0.003156332072368885,0.11612903225806452,310
competitive_dynamics,Niche Focus,-0.0785615461820145,0.26129032258064516,310
competitive_dynamics,Diversification,0.0053690042689785045,0.0935483870967742,310
competitive_dynamics,Open Innovation,-0.06775674748835818,0.3064516129032258,310
competitive_dynamics,Fast Follower,0.03070788357667012,0.15483870967741936,310
competitive_dynamics,Technology Leadership,0.12152739231289125,0.36451612903225805,310
count_fact,Maintain,-0.013349578289901997,0.1715210355987055,309
count_fact,Retrenchment,0.004278653809081317,0.12297734627831715,309
count_fact,Niche Focus,-0.016195705942519404,0.16181229773462782,309
count_fact,Diversification,0.007616176695382015,0.061488673139158574,309
count_fact,Open Innovation,-0.059217585615249084,0.23948220064724918,309
count_fact,Fast Follower,0.02660595621693081,0.12297734627831715,309
count_fact,Technology Leadership,0.05026208312627631,0.31715210355987056,309
opp_focus,Maintain,-0.012440847961167959,0.11974110032362459,309
opp_focus,Retrenchment,-0.002667212571949882,0.10355987055016182,309
opp_focus,Niche Focus,-0.04572835179512269,0.21359223300970873,309
opp_focus,Diversification,0.008662266172785888,0.061488673139158574,309
opp_focus,Open Innovation,-0.06120062221627095,0.255663430420712,309
opp_focus,Fast Follower,0.014598666598550919,0.10355987055016182,309
opp_focus,Technology Leadership,0.09877610177317474,0.4045307443365696,309
randomized_numbers,Maintain,-0.02106880417291039,0.1650485436893204,309
randomized_numbers,Retrenchment,-0.00633442247887371,0.15857605177993528,309
randomized_numbers,Niche Focus,-0.03316211245056329,0.19741100323624594,309
randomized_numbers,Diversification,0.009353119824649389,0.10355987055016182,309
randomized_numbers,Open Innovation,-0.051270116735991564,0.255663430420712,309
randomized_numbers,Fast Follower,0.016491163063397325,0.1262135922330097,309
randomized_numbers,Technology Leadership,0.08599117295029225,0.37540453074433655,309
