context_variant,Strategy,interaction_delta,ci_lower,ci_upper,p_value,n_conditions_variant,n_conditions_base,q_value_fdr,sig_stars,interaction_95ci
competitive_dynamics,Maintain,0.01121637162995046,-0.03358116834486922,0.05648916134196541,0.6236,310,310,0.8314666666666668,,"[-0.034, 0.056]"
competitive_dynamics,Retrenchment,0.011421741134795932,-0.013447114512109296,0.035973039649320325,0.3722,310,310,0.7489066666666666,,"[-0.013, 0.036]"
competitive_dynamics,Niche Focus,-0.017620014467511776,-0.05059682101352509,0.01563333428267964,0.2938,310,310,0.7489066666666666,,"[-0.051, 0.016]"
competitive_dynamics,Diversification,-0.00808796767861152,-0.024922505052026336,0.007881185370760132,0.3364,310,310,0.7489066666666666,,"[-0.025, 0.008]"
competitive_dynamics,Open Innovation,-0.020263442165790506,-0.059246233434568814,0.0175621547840295,0.3018,310,310,0.7489066666666666,,"[-0.059, 0.018]"
competitive_dynamics,Fast Follower,0.01863207842753429,-0.006980207227863589,0.044057170141962,0.1526,310,310,0.7489066666666666,,"[-0.007, 0.044]"
competitive_dynamics,Technology Leadership,0.004701233119633191,-0.037508682952418014,0.04640574117496969,0.8366,310,310,0.8895703703703703,,"[-0.038, 0.046]"
count_fact,Maintain,0.0059964477558467535,-0.036630348703779084,0.0483694768920288,0.7612,309,310,0.8880666666666667,,"[-0.037, 0.048]"
count_fact,Retrenchment,0.018856727016246133,-0.008861775689047257,0.04701385434128289,0.1818,309,310,0.7489066666666666,,"[-0.009, 0.047]"
count_fact,Niche Focus,0.044745825771983314,0.017818835177262186,0.07247131829413614,0.0004,309,310,0.0084,**,"[0.018, 0.072]"
count_fact,Diversification,-0.005840795252208009,-0.019438128714840835,0.007908555221106584,0.4012,309,310,0.7489066666666666,,"[-0.019, 0.008]"
count_fact,Open Innovation,-0.01172428029268141,-0.04901870473067987,0.025002850786128083,0.528,309,310,0.82096,,"[-0.049, 0.025]"
count_fact,Fast Follower,0.014530151067794981,-0.01216891502809236,0.04140134018881088,0.306,309,310,0.7489066666666666,,"[-0.012, 0.041]"
count_fact,Technology Leadership,-0.06656407606698175,-0.1036193463630433,-0.02930392020819849,0.0006,309,310,0.0084,**,"[-0.104, -0.029]"
opp_focus,Maintain,0.006905178084580792,-0.036017272232008825,0.04919297131352653,0.7486,309,310,0.8880666666666667,,"[-0.036, 0.049]"
opp_focus,Retrenchment,0.011910860635214935,-0.011455909293619665,0.034633291383212306,0.3272,309,310,0.7489066666666666,,"[-0.011, 0.035]"
opp_focus,Niche Focus,0.01521317991938003,-0.013621605598379815,0.0448311559780288,0.2934,309,310,0.7489066666666666,,"[-0.014, 0.045]"
opp_focus,Diversification,-0.004794705774804136,-0.021632008211552173,0.012677926839049527,0.5864,309,310,0.82096,,"[-0.022, 0.013]"
opp_focus,Open Innovation,-0.013707316893703275,-0.04928129973083059,0.02236350239850135,0.4612,309,310,0.8071,,"[-0.049, 0.022]"
opp_focus,Fast Follower,0.0025228614494150897,-0.019775170221913874,0.025323411830321243,0.8248,309,310,0.8895703703703703,,"[-0.020, 0.025]"
opp_focus,Technology Leadership,-0.018050057420083324,-0.058445405572163545,0.021298258445327352,0.3874,309,310,0.7489066666666666,,"[-0.058, 0.021]"
randomized_numbers,Maintain,-0.00172277812716164,-0.04517607139907118,0.041297444340489674,0.953,309,310,0.953,,"[-0.045, 0.041]"
randomized_numbers,Retrenchment,0.008243650728291106,-0.018485622624893307,0.03501959171940661,0.5588,309,310,0.82096,,"[-0.018, 0.035]"
randomized_numbers,Niche Focus,0.027779419263939432,-0.00022620463532419116,0.05660432905595235,0.0518,309,310,0.48346666666666666,,"[-0.000, 0.057]"
randomized_numbers,Diversification,-0.004103852122940635,-0.018687277291120775,0.010500250993480885,0.5786,309,310,0.82096,,"[-0.019, 0.011]"
randomized_numbers,Open Innovation,-0.0037768114134238903,-0.04200380500782578,0.03498742457631819,0.8578,309,310,0.8895703703703703,,"[-0.042, 0.035]"
randomized_numbers,Fast Follower,0.004415357914261496,-0.02325752058421477,0.0323184103313943,0.7582,309,310,0.8880666666666667,,"[-0.023, 0.032]"
randomized_numbers,Technology Leadership,-0.03083498624296581,-0.07185298747863803,0.009363367293755896,0.132,309,310,0.7489066666666666,,"[-0.072, 0.009]"
