word,delta_log_odds,abs_delta,direction
prestige limited,0.6955444363107102,0.6955444363107102,Specific>Generic
mission lead,0.6955212970664988,0.6955212970664988,Specific>Generic
prestige demonstrate,0.6955203656473952,0.6955203656473952,Specific>Generic
goal technological,0.6954998750834864,0.6954998750834864,Specific>Generic
leader capturing,0.6954885028721485,0.6954885028721485,Specific>Generic
position platform,0.6954865421851455,0.6954865421851455,Specific>Generic
adjustments scales,0.6954864441510988,0.6954864441510988,Specific>Generic
compatibility vehicles,0.6954862480830872,0.6954862480830872,Specific>Generic
served competitors,0.6954857088966513,0.6954857088966513,Specific>Generic
needed minimizing,0.6954855618459561,0.6954855618459561,Specific>Generic
edge requiring,0.6954855128290713,0.6954855128290713,Specific>Generic
capabilities sets,0.6954849246270243,0.6954849246270243,Specific>Generic
path allows,0.6954838952759292,0.6954838952759292,Specific>Generic
identity leader,0.6954838952759292,0.6954838952759292,Specific>Generic
prestige competing,0.6954837482260317,0.6954837482260317,Specific>Generic
new manage,-0.6908254459129353,0.6908254459129353,Generic>Specific
propositions direct,-0.6908241803484145,0.6908241803484145,Generic>Specific
adopters forgiving,-0.6908234988925912,0.6908234988925912,Generic>Specific
entrants global,-0.6908234502172288,0.6908234502172288,Generic>Specific
design advisable,-0.6908230121392887,0.6908230121392887,Generic>Specific
capacity reduces,-0.6908229634639973,0.6908229634639973,Generic>Specific
chain ultimately,-0.6908225740619258,0.6908225740619258,Generic>Specific
rushed quality,-0.6908225253866984,0.6908225253866984,Generic>Specific
addresses underserved,-0.6908222820106698,0.6908222820106698,Generic>Specific
segment vast,-0.6908222820106698,0.6908222820106698,Generic>Specific
met existing,-0.6908220386348205,0.6908220386348205,Generic>Specific
trust balanced,-0.6908216979089303,0.6908216979089303,Generic>Specific
propositions extensive,-0.6908214545335074,0.6908214545335074,Generic>Specific
delaying significant,-0.690821016458198,0.690821016458198,Generic>Specific
funding invest,-0.6908206757333559,0.6908206757333559,Generic>Specific
