Model,Temperature,FR_framing_robustness,CR_context_responsiveness,NS_numerical_sensitivity,DS_decision_stability,EFI_explanatory_framing_invariance,EFD_raw,EFD_perm_p_value,EFD_sig_keyword_ratio_q05
01-ai/Yi-1.5-9B-Chat,0.0,0.8136550058866101,0.07962157609258518,0.08028412770536171,0.8552034991809913,0.6365963149465155,0.5708542077941755,0.004975124378109453,1.0
01-ai/Yi-1.5-9B-Chat,0.7,0.8297930796241832,0.06905446611919137,0.04299059970783678,0.6943302841628404,0.7632799781317139,0.31013524348916827,0.004975124378109453,1.0
Qwen/Qwen2.5-14B-Instruct,0.0,0.6748653251040702,0.14849254514179555,0.027849862500134777,0.8931741239735919,0.6385450810917986,0.5660601414236528,0.004975124378109453,1.0
Qwen/Qwen2.5-14B-Instruct,0.7,0.7066185063614568,0.13401837035153022,0.01512475938088074,0.8600078597919075,0.7070057063160571,0.4144157410137844,0.004975124378109453,1.0
deepseek-ai/deepseek-llm-7b-chat,0.0,0.9405288891680416,0.11383504737230349,0.12486057383719809,0.9014843923015271,0.6462003076760519,0.54750777447991,0.004975124378109453,1.0
deepseek-ai/deepseek-llm-7b-chat,0.7,0.9559730195978623,0.05815815299236815,0.04348250386970155,0.6422970417729224,0.7704789542459791,0.29789398463016964,0.004975124378109453,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,0.8515104797143075,0.17495719282001573,0.026297374441216922,0.8759172314800895,0.6514189388437075,0.5351104187652829,0.004975124378109453,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,0.9333631143199764,0.12059524098068397,0.023184792179074848,0.7273240085382664,0.7722400347325094,0.2949341591003927,0.004975124378109453,1.0
mistralai/Mistral-7B-Instruct-v0.3,0.0,0.7593528968487515,0.13253672517626433,0.03355502248131049,0.9177992563859689,0.6417125542950002,0.5583301172884523,0.004975124378109453,1.0
mistralai/Mistral-7B-Instruct-v0.3,0.7,0.8194654776731144,0.10780543938382971,0.025020391790906985,0.8336135458201148,0.7629662752655031,0.31067392153344137,0.004975124378109453,1.0
