Model,Temperature,scenario,CR_scenario
01-ai/Yi-1.5-9B-Chat,0.0,1_founder_period,0.09882225303026046
01-ai/Yi-1.5-9B-Chat,0.0,2_roadster_launch,0.022294528018394832
01-ai/Yi-1.5-9B-Chat,0.0,3_model_s_launch,0.11901671272088295
01-ai/Yi-1.5-9B-Chat,0.0,4_model_x_launch,0.16704115646962736
01-ai/Yi-1.5-9B-Chat,0.0,5_model_3_mass_market,0.030614504513931284
01-ai/Yi-1.5-9B-Chat,0.0,6_energy_infra,0.04888101639070779
01-ai/Yi-1.5-9B-Chat,0.7,1_founder_period,0.04956706215609681
01-ai/Yi-1.5-9B-Chat,0.7,2_roadster_launch,0.028574386427950724
01-ai/Yi-1.5-9B-Chat,0.7,3_model_s_launch,0.06739690405816502
01-ai/Yi-1.5-9B-Chat,0.7,4_model_x_launch,0.19611361795871288
01-ai/Yi-1.5-9B-Chat,0.7,5_model_3_mass_market,0.03350663553368889
01-ai/Yi-1.5-9B-Chat,0.7,6_energy_infra,0.0466316397535665
Qwen/Qwen2.5-14B-Instruct,0.0,1_founder_period,0.12986284542441473
Qwen/Qwen2.5-14B-Instruct,0.0,2_roadster_launch,0.02629174105752965
Qwen/Qwen2.5-14B-Instruct,0.0,3_model_s_launch,0.08851925274682465
Qwen/Qwen2.5-14B-Instruct,0.0,4_model_x_launch,0.401244174118219
Qwen/Qwen2.5-14B-Instruct,0.0,5_model_3_mass_market,0.013781711403758373
Qwen/Qwen2.5-14B-Instruct,0.0,6_energy_infra,0.22671276750798525
Qwen/Qwen2.5-14B-Instruct,0.7,1_founder_period,0.11039238247320601
Qwen/Qwen2.5-14B-Instruct,0.7,2_roadster_launch,0.034546336613907616
Qwen/Qwen2.5-14B-Instruct,0.7,3_model_s_launch,0.07934615583111738
Qwen/Qwen2.5-14B-Instruct,0.7,4_model_x_launch,0.3514971049936635
Qwen/Qwen2.5-14B-Instruct,0.7,5_model_3_mass_market,0.018165879461592326
Qwen/Qwen2.5-14B-Instruct,0.7,6_energy_infra,0.2086783149829415
deepseek-ai/deepseek-llm-7b-chat,0.0,1_founder_period,0.13325586258251448
deepseek-ai/deepseek-llm-7b-chat,0.0,2_roadster_launch,0.2884478137126404
deepseek-ai/deepseek-llm-7b-chat,0.0,3_model_s_launch,0.0
deepseek-ai/deepseek-llm-7b-chat,0.0,4_model_x_launch,0.02014363084303535
deepseek-ai/deepseek-llm-7b-chat,0.0,5_model_3_mass_market,0.04578745647490881
deepseek-ai/deepseek-llm-7b-chat,0.0,6_energy_infra,0.16484018506217687
deepseek-ai/deepseek-llm-7b-chat,0.7,1_founder_period,0.09067384122716905
deepseek-ai/deepseek-llm-7b-chat,0.7,2_roadster_launch,0.05782661975306487
deepseek-ai/deepseek-llm-7b-chat,0.7,3_model_s_launch,0.006523212666507545
deepseek-ai/deepseek-llm-7b-chat,0.7,4_model_x_launch,0.029631062889237943
deepseek-ai/deepseek-llm-7b-chat,0.7,5_model_3_mass_market,0.04706471484328323
deepseek-ai/deepseek-llm-7b-chat,0.7,6_energy_infra,0.0938962032158538
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,1_founder_period,0.22951785719647672
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,2_roadster_launch,0.164470599107079
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,3_model_s_launch,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,4_model_x_launch,0.461284164170903
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,5_model_3_mass_market,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,6_energy_infra,0.13765483213104796
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,1_founder_period,0.17839862995372377
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,2_roadster_launch,0.10339424907158604
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,3_model_s_launch,0.0038668366039316428
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,4_model_x_launch,0.2895218637095918
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,5_model_3_mass_market,0.019423850652356942
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,6_energy_infra,0.08249897942834715
mistralai/Mistral-7B-Instruct-v0.3,0.0,1_founder_period,0.17445506315042109
mistralai/Mistral-7B-Instruct-v0.3,0.0,2_roadster_launch,0.08118678548111563
mistralai/Mistral-7B-Instruct-v0.3,0.0,3_model_s_launch,0.0
mistralai/Mistral-7B-Instruct-v0.3,0.0,4_model_x_launch,0.1557379209355493
mistralai/Mistral-7B-Instruct-v0.3,0.0,5_model_3_mass_market,0.13830528873755615
mistralai/Mistral-7B-Instruct-v0.3,0.0,6_energy_infra,0.20226061252802832
mistralai/Mistral-7B-Instruct-v0.3,0.7,1_founder_period,0.15991019692698244
mistralai/Mistral-7B-Instruct-v0.3,0.7,2_roadster_launch,0.0576033090742926
mistralai/Mistral-7B-Instruct-v0.3,0.7,3_model_s_launch,0.002625321083939342
mistralai/Mistral-7B-Instruct-v0.3,0.7,4_model_x_launch,0.1855192661641007
mistralai/Mistral-7B-Instruct-v0.3,0.7,5_model_3_mass_market,0.02445070967262324
mistralai/Mistral-7B-Instruct-v0.3,0.7,6_energy_infra,0.1748459067038006
