Model,Temperature,level_2,CR_scenario
01-ai/Yi-1.5-9B-Chat,0.0,CR_mean_across_scenarios,0.08111169519063412
01-ai/Yi-1.5-9B-Chat,0.0,CR_std_across_scenarios,0.05193356109005632
01-ai/Yi-1.5-9B-Chat,0.0,CR_min_scenario,0.022294528018394832
01-ai/Yi-1.5-9B-Chat,0.0,CR_max_scenario,0.16704115646962736
01-ai/Yi-1.5-9B-Chat,0.0,n_scenarios,6.0
01-ai/Yi-1.5-9B-Chat,0.7,CR_mean_across_scenarios,0.07029837431469681
01-ai/Yi-1.5-9B-Chat,0.7,CR_std_across_scenarios,0.057622794822824876
01-ai/Yi-1.5-9B-Chat,0.7,CR_min_scenario,0.028574386427950724
01-ai/Yi-1.5-9B-Chat,0.7,CR_max_scenario,0.19611361795871288
01-ai/Yi-1.5-9B-Chat,0.7,n_scenarios,6.0
Qwen/Qwen2.5-14B-Instruct,0.0,CR_mean_across_scenarios,0.1477354153764553
Qwen/Qwen2.5-14B-Instruct,0.0,CR_std_across_scenarios,0.13355539201760264
Qwen/Qwen2.5-14B-Instruct,0.0,CR_min_scenario,0.013781711403758373
Qwen/Qwen2.5-14B-Instruct,0.0,CR_max_scenario,0.401244174118219
Qwen/Qwen2.5-14B-Instruct,0.0,n_scenarios,6.0
Qwen/Qwen2.5-14B-Instruct,0.7,CR_mean_across_scenarios,0.13377102905940472
Qwen/Qwen2.5-14B-Instruct,0.7,CR_std_across_scenarios,0.11527826028984152
Qwen/Qwen2.5-14B-Instruct,0.7,CR_min_scenario,0.018165879461592326
Qwen/Qwen2.5-14B-Instruct,0.7,CR_max_scenario,0.3514971049936635
Qwen/Qwen2.5-14B-Instruct,0.7,n_scenarios,6.0
deepseek-ai/deepseek-llm-7b-chat,0.0,CR_mean_across_scenarios,0.10874582477921264
deepseek-ai/deepseek-llm-7b-chat,0.0,CR_std_across_scenarios,0.09973287935953355
deepseek-ai/deepseek-llm-7b-chat,0.0,CR_min_scenario,0.0
deepseek-ai/deepseek-llm-7b-chat,0.0,CR_max_scenario,0.2884478137126404
deepseek-ai/deepseek-llm-7b-chat,0.0,n_scenarios,6.0
deepseek-ai/deepseek-llm-7b-chat,0.7,CR_mean_across_scenarios,0.05426927576585274
deepseek-ai/deepseek-llm-7b-chat,0.7,CR_std_across_scenarios,0.0312166468280556
deepseek-ai/deepseek-llm-7b-chat,0.7,CR_min_scenario,0.006523212666507545
deepseek-ai/deepseek-llm-7b-chat,0.7,CR_max_scenario,0.0938962032158538
deepseek-ai/deepseek-llm-7b-chat,0.7,n_scenarios,6.0
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,CR_mean_across_scenarios,0.16548790876758446
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,CR_std_across_scenarios,0.15660112280193972
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,CR_min_scenario,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,CR_max_scenario,0.461284164170903
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,n_scenarios,6.0
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,CR_mean_across_scenarios,0.11285073490325624
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,CR_std_across_scenarios,0.09757556155214074
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,CR_min_scenario,0.0038668366039316428
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,CR_max_scenario,0.2895218637095918
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,n_scenarios,6.0
mistralai/Mistral-7B-Instruct-v0.3,0.0,CR_mean_across_scenarios,0.12532427847211175
mistralai/Mistral-7B-Instruct-v0.3,0.0,CR_std_across_scenarios,0.06718236727812962
mistralai/Mistral-7B-Instruct-v0.3,0.0,CR_min_scenario,0.0
mistralai/Mistral-7B-Instruct-v0.3,0.0,CR_max_scenario,0.20226061252802832
mistralai/Mistral-7B-Instruct-v0.3,0.0,n_scenarios,6.0
mistralai/Mistral-7B-Instruct-v0.3,0.7,CR_mean_across_scenarios,0.10082578493762316
mistralai/Mistral-7B-Instruct-v0.3,0.7,CR_std_across_scenarios,0.07470787282390551
mistralai/Mistral-7B-Instruct-v0.3,0.7,CR_min_scenario,0.002625321083939342
mistralai/Mistral-7B-Instruct-v0.3,0.7,CR_max_scenario,0.1855192661641007
mistralai/Mistral-7B-Instruct-v0.3,0.7,n_scenarios,6.0
