Model,Temperature,Strategy,mean_delta_specific_minus_generic,consistency_sign,n_conditions
01-ai/Yi-1.5-9B-Chat,0.0,Diversification,0.0018171915230738751,0.0457516339869281,153
01-ai/Yi-1.5-9B-Chat,0.0,Fast Follower,0.05677834830600415,0.1111111111111111,153
01-ai/Yi-1.5-9B-Chat,0.0,Maintain,0.006033783262943085,0.06535947712418301,153
01-ai/Yi-1.5-9B-Chat,0.0,Niche Focus,-0.12095705797618943,0.2875816993464052,153
01-ai/Yi-1.5-9B-Chat,0.0,Open Innovation,-0.011846338782402745,0.1437908496732026,153
01-ai/Yi-1.5-9B-Chat,0.0,Retrenchment,0.030256596308495826,0.11764705882352941,153
01-ai/Yi-1.5-9B-Chat,0.0,Technology Leadership,0.03791747735807529,0.28104575163398693,153
01-ai/Yi-1.5-9B-Chat,0.7,Diversification,0.0017370396687620795,0.10967741935483871,155
01-ai/Yi-1.5-9B-Chat,0.7,Fast Follower,0.054850342629438234,0.18064516129032257,155
01-ai/Yi-1.5-9B-Chat,0.7,Maintain,0.010656625269002375,0.2838709677419355,155
01-ai/Yi-1.5-9B-Chat,0.7,Niche Focus,-0.12192471791309745,0.4064516129032258,155
01-ai/Yi-1.5-9B-Chat,0.7,Open Innovation,-0.042504847192071475,0.4774193548387097,155
01-ai/Yi-1.5-9B-Chat,0.7,Retrenchment,0.04506953145036857,0.36129032258064514,155
01-ai/Yi-1.5-9B-Chat,0.7,Technology Leadership,0.05211602608759757,0.4774193548387097,155
Qwen/Qwen2.5-14B-Instruct,0.0,Diversification,-0.02539426523297491,0.07741935483870968,155
Qwen/Qwen2.5-14B-Instruct,0.0,Fast Follower,0.06331541218637993,0.12258064516129032,155
Qwen/Qwen2.5-14B-Instruct,0.0,Maintain,0.11677419354838711,0.2129032258064516,155
Qwen/Qwen2.5-14B-Instruct,0.0,Niche Focus,-0.08836415026928551,0.21935483870967742,155
Qwen/Qwen2.5-14B-Instruct,0.0,Open Innovation,-0.2060752688172043,0.2967741935483871,155
Qwen/Qwen2.5-14B-Instruct,0.0,Retrenchment,0.05374551971326165,0.09032258064516129,155
Qwen/Qwen2.5-14B-Instruct,0.0,Technology Leadership,0.08599855887143604,0.1935483870967742,155
Qwen/Qwen2.5-14B-Instruct,0.7,Diversification,-0.022849462365591395,0.0967741935483871,155
Qwen/Qwen2.5-14B-Instruct,0.7,Fast Follower,0.050658715098942805,0.14838709677419354,155
Qwen/Qwen2.5-14B-Instruct,0.7,Maintain,0.12238351254480284,0.21935483870967742,155
Qwen/Qwen2.5-14B-Instruct,0.7,Niche Focus,-0.10290949943310806,0.2645161290322581,155
Qwen/Qwen2.5-14B-Instruct,0.7,Open Innovation,-0.2074411915303756,0.2967741935483871,155
Qwen/Qwen2.5-14B-Instruct,0.7,Retrenchment,0.05921146953405019,0.14193548387096774,155
Qwen/Qwen2.5-14B-Instruct,0.7,Technology Leadership,0.10094645615127919,0.23225806451612904,155
deepseek-ai/deepseek-llm-7b-chat,0.0,Diversification,0.034343046192958776,0.1032258064516129,155
deepseek-ai/deepseek-llm-7b-chat,0.0,Fast Follower,-0.017640872220250958,0.1032258064516129,155
deepseek-ai/deepseek-llm-7b-chat,0.0,Maintain,0.010451040631306287,0.05806451612903226,155
deepseek-ai/deepseek-llm-7b-chat,0.0,Niche Focus,0.0035331291024891446,0.05806451612903226,155
deepseek-ai/deepseek-llm-7b-chat,0.0,Open Innovation,-0.04202161530954712,0.1935483870967742,155
deepseek-ai/deepseek-llm-7b-chat,0.0,Retrenchment,0.00840937307306276,0.05161290322580645,155
deepseek-ai/deepseek-llm-7b-chat,0.0,Technology Leadership,0.0029258985299810917,0.10967741935483871,155
deepseek-ai/deepseek-llm-7b-chat,0.7,Diversification,0.04156567903489987,0.2064516129032258,155
deepseek-ai/deepseek-llm-7b-chat,0.7,Fast Follower,-0.018411027760612833,0.38064516129032255,155
deepseek-ai/deepseek-llm-7b-chat,0.7,Maintain,0.003700103497174665,0.2645161290322581,155
deepseek-ai/deepseek-llm-7b-chat,0.7,Niche Focus,-0.010176621820897248,0.43870967741935485,155
deepseek-ai/deepseek-llm-7b-chat,0.7,Open Innovation,-0.03284681439888026,0.5612903225806452,155
deepseek-ai/deepseek-llm-7b-chat,0.7,Retrenchment,0.006417676568532305,0.21935483870967742,155
deepseek-ai/deepseek-llm-7b-chat,0.7,Technology Leadership,0.009751004879783483,0.4064516129032258,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,Diversification,0.036719288423787834,0.07741935483870968,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,Fast Follower,-7.038123167155363e-05,0.012903225806451613,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,Maintain,-0.03612903225806451,0.07096774193548387,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,Niche Focus,0.038783812060414175,0.13548387096774195,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,Open Innovation,-0.03743276098114808,0.10967741935483871,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,Retrenchment,-0.08745890811907626,0.2129032258064516,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,Technology Leadership,0.0855879821057584,0.2967741935483871,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,Diversification,0.010836714141658162,0.09032258064516129,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,Fast Follower,0.0038894807381638203,0.1032258064516129,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,Maintain,-0.03103989480878857,0.27741935483870966,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,Niche Focus,0.01690033756421671,0.13548387096774195,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,Open Innovation,-0.026675739846464316,0.3548387096774194,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,Retrenchment,-0.07044685407933861,0.33548387096774196,155
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,Technology Leadership,0.09653595629055281,0.6967741935483871,155
mistralai/Mistral-7B-Instruct-v0.3,0.0,Diversification,0.0021103896103896115,0.045454545454545456,154
mistralai/Mistral-7B-Instruct-v0.3,0.0,Fast Follower,0.0,1.0,154
mistralai/Mistral-7B-Instruct-v0.3,0.0,Maintain,-0.1861860163419088,0.22077922077922077,154
mistralai/Mistral-7B-Instruct-v0.3,0.0,Niche Focus,-0.04782179721774139,0.14285714285714285,154
mistralai/Mistral-7B-Instruct-v0.3,0.0,Open Innovation,0.01718470077408625,0.06493506493506493,154
mistralai/Mistral-7B-Instruct-v0.3,0.0,Retrenchment,-0.03454422033948817,0.12987012987012986,154
mistralai/Mistral-7B-Instruct-v0.3,0.0,Technology Leadership,0.2492569435146625,0.38961038961038963,154
mistralai/Mistral-7B-Instruct-v0.3,0.7,Diversification,0.007901154950605928,0.11612903225806452,155
mistralai/Mistral-7B-Instruct-v0.3,0.7,Fast Follower,0.007949324435448223,0.16774193548387098,155
mistralai/Mistral-7B-Instruct-v0.3,0.7,Maintain,-0.1661351643377934,0.4258064516129032,155
mistralai/Mistral-7B-Instruct-v0.3,0.7,Niche Focus,-0.037497735059678065,0.16129032258064516,155
mistralai/Mistral-7B-Instruct-v0.3,0.7,Open Innovation,0.016848800990208954,0.16129032258064516,155
mistralai/Mistral-7B-Instruct-v0.3,0.7,Retrenchment,-0.05537694454907025,0.3161290322580645,155
mistralai/Mistral-7B-Instruct-v0.3,0.7,Technology Leadership,0.22631056357027873,0.5806451612903226,155
