Model,Temperature,FR_framing_robustness_scaled_for_radar,CR_context_responsiveness_scaled_for_radar,NS_numerical_sensitivity_scaled_for_radar,DS_decision_stability_scaled_for_radar,EFI_explanatory_framing_invariance_scaled_for_radar
01-ai/Yi-1.5-9B-Chat,0.0,0.4937242327445609,0.183763694734898,0.5937839769751654,0.7727939962555443,0.0
01-ai/Yi-1.5-9B-Chat,0.7,0.5511330979363657,0.09329111902719554,0.25393569515127284,0.18886687521913645,0.9339441839627237
Qwen/Qwen2.5-14B-Instruct,0.0,0.0,0.77341724968568,0.11596125824827712,0.9106172977703137,0.014366799645112565
Qwen/Qwen2.5-14B-Instruct,0.7,0.11295735363831498,0.6494935015827514,0.0,0.7902325515777373,0.5190759401218651
deepseek-ai/deepseek-llm-7b-chat,0.0,0.9450597378430643,0.47668965825484483,1.0,0.9407813686457778,0.0708030769481158
deepseek-ai/deepseek-llm-7b-chat,0.7,1.0,0.0,0.2584183170218253,0.0,0.9870168667645749
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,0.628389610353189,1.0,0.1018137525628306,0.8479793530345868,0.1092761531501627
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,0.919568529354556,0.5345685039915568,0.07344942795683695,0.3086253476574324,1.0
mistralai/Mistral-7B-Instruct-v0.3,0.0,0.3005523270959313,0.6368080790188994,0.16795121257122764,1.0,0.0377182176702072
mistralai/Mistral-7B-Instruct-v0.3,0.7,0.5143941464478039,0.4250658778079228,0.0901768712343718,0.6944281893192904,0.9316314866501926
