Model,Temperature,scenario,FR_scenario,CR_scenario,DS_scenario
01-ai/Yi-1.5-9B-Chat,0.0,1_founder_period,0.7863419728230849,0.09882225303026046,0.9828934530659532
01-ai/Yi-1.5-9B-Chat,0.0,2_roadster_launch,0.9765311109132565,0.022294528018394832,0.9797431792815274
01-ai/Yi-1.5-9B-Chat,0.0,3_model_s_launch,0.29900568132868577,0.11901671272088295,0.99812241134406
01-ai/Yi-1.5-9B-Chat,0.0,4_model_x_launch,0.7879938334941476,0.16704115646962736,0.9968041044774059
01-ai/Yi-1.5-9B-Chat,0.0,5_model_3_mass_market,0.9588143757180507,0.030614504513931284,0.9999999999117193
01-ai/Yi-1.5-9B-Chat,0.0,6_energy_infra,0.9791855155648634,0.04888101639070779,0.9753847246732328
01-ai/Yi-1.5-9B-Chat,0.7,1_founder_period,0.8197263040408932,0.04956706215609681,0.7942081077515192
01-ai/Yi-1.5-9B-Chat,0.7,2_roadster_launch,0.9269686630139913,0.028574386427950724,0.8592211748151763
01-ai/Yi-1.5-9B-Chat,0.7,3_model_s_launch,0.4221110059576627,0.06739690405816502,0.8372594727288154
01-ai/Yi-1.5-9B-Chat,0.7,4_model_x_launch,0.8438517122039839,0.19611361795871288,0.6929733932986258
01-ai/Yi-1.5-9B-Chat,0.7,5_model_3_mass_market,0.9014625116756032,0.03350663553368889,0.9301169740194142
01-ai/Yi-1.5-9B-Chat,0.7,6_energy_infra,0.9871285763529772,0.0466316397535665,0.765600242571706
Qwen/Qwen2.5-14B-Instruct,0.0,1_founder_period,0.7931416795522352,0.12986284542441473,0.9964903891312815
Qwen/Qwen2.5-14B-Instruct,0.0,2_roadster_launch,0.9615537191549473,0.02629174105752965,0.9915222683108584
Qwen/Qwen2.5-14B-Instruct,0.0,3_model_s_launch,0.6626490842582217,0.08851925274682465,0.996853271542915
Qwen/Qwen2.5-14B-Instruct,0.0,4_model_x_launch,0.5969263435301737,0.401244174118219,0.9874962348205014
Qwen/Qwen2.5-14B-Instruct,0.0,5_model_3_mass_market,0.08169348213954275,0.013781711403758373,0.9999999999117193
Qwen/Qwen2.5-14B-Instruct,0.0,6_energy_infra,0.9034738520408642,0.22671276750798525,0.9999999999117195
Qwen/Qwen2.5-14B-Instruct,0.7,1_founder_period,0.7646352633013678,0.11039238247320601,0.9412388306579146
Qwen/Qwen2.5-14B-Instruct,0.7,2_roadster_launch,0.9701205828923745,0.034546336613907616,0.9816914449736632
Qwen/Qwen2.5-14B-Instruct,0.7,3_model_s_launch,0.8133456369676866,0.07934615583111738,0.8998785841778936
Qwen/Qwen2.5-14B-Instruct,0.7,4_model_x_launch,0.6281546954045769,0.3514971049936635,0.9082218647656888
Qwen/Qwen2.5-14B-Instruct,0.7,5_model_3_mass_market,0.12209828852150106,0.018165879461592326,0.9999999999117193
