Model,Temperature,scenario,dev_from_avg_profile_L2,rank_within_model_temp,FR_scenario,CR_scenario,DS_scenario,FR_scenario_scaled,CR_scenario_scaled,DS_scenario_scaled,FR_scenario_baseline_scaled,CR_scenario_baseline_scaled,DS_scenario_baseline_scaled
01-ai/Yi-1.5-9B-Chat,0.0,3_model_s_launch,0.5628794234573025,1,0.29900568132868577,0.11901671272088295,0.99812241134406,0.2366445135285047,0.25801170290508385,0.9966085626575236,0.7738565034184205,0.08998182967790622,0.9981849424978122
01-ai/Yi-1.5-9B-Chat,0.0,2_roadster_launch,0.3051068519609769,2,0.9765311109132565,0.022294528018394832,0.9797431792815274,0.9744432946621971,0.04833144024891096,0.9634106539055541,0.7479916780152689,0.2526388342093078,0.971677769765472
01-ai/Yi-1.5-9B-Chat,0.0,6_energy_infra,0.2500902350237797,3,0.9791855155648634,0.04888101639070779,0.9753847246732328,0.9773338378522765,0.10596725443320805,0.9555380954714763,0.8851472811376662,0.3383378291437863,0.9626571139451754
01-ai/Yi-1.5-9B-Chat,0.0,5_model_3_mass_market,0.2494167496485103,4,0.9588143757180507,0.030614504513931284,0.9999999999117193,0.955150460678525,0.06636799372672328,0.999999999999999,0.7080307757808698,0.09906646656333115,0.9915509636369055
01-ai/Yi-1.5-9B-Chat,0.0,4_model_x_launch,0.162212178126003,5,0.7879938334941476,0.16704115646962736,0.9968041044774059,0.7691335492207972,0.36212202682019584,0.9942273406936584,0.7916795202219633,0.5226500886732031,0.9882934312139142
01-ai/Yi-1.5-9B-Chat,0.0,1_founder_period,0.13010436110670737,6,0.7863419728230849,0.09882225303026046,0.9828934530659532,0.7673347373437877,0.2142329191115423,0.9691009080621622,0.8185352094786118,0.3320789833575648,0.989545016599292
01-ai/Yi-1.5-9B-Chat,0.7,3_model_s_launch,0.49272354242790467,1,0.4221110059576627,0.06739690405816502,0.8372594727288154,0.37070141308726795,0.14610712721799587,0.7060461964197537,0.8217983117525843,0.06926681757255009,0.8887581119885761
01-ai/Yi-1.5-9B-Chat,0.7,1_founder_period,0.21702797481779387,2,0.8197263040408932,0.04956706215609681,0.7942081077515192,0.8036889726328823,0.10745450636742976,0.6282836826595856,0.8526357814419934,0.25534894040671147,0.7793882429518476
01-ai/Yi-1.5-9B-Chat,0.7,6_energy_infra,0.2119032884605825,3,0.9871285763529772,0.0466316397535665,0.765600242571706,0.9859835214095924,0.10109091830061125,0.576610071129093,0.9452172643606295,0.26298368389676,0.707116195101331
01-ai/Yi-1.5-9B-Chat,0.7,5_model_3_mass_market,0.19491509608468663,4,0.9014625116756032,0.03350663553368889,0.9301169740194142,0.8926965164594746,0.0726377320884462,0.8737721843333317,0.7157419661575702,0.06183251073440614,0.7927645982648428
01-ai/Yi-1.5-9B-Chat,0.7,4_model_x_launch,0.17495734497993184,5,0.8438517122039839,0.19611361795871288,0.6929733932986258,0.829960601652025,0.4251470854439607,0.44542616165412224,0.823320540345774,0.45624064186406466,0.6174702632601521
01-ai/Yi-1.5-9B-Chat,0.7,2_roadster_launch,0.14229173636341347,6,0.9269686630139913,0.028574386427950724,0.8592211748151763,0.9204717209715958,0.06194530106904794,0.7457150236819785,0.8453940643730646,0.12224347716230854,0.6409561878884554
Qwen/Qwen2.5-14B-Instruct,0.0,5_model_3_mass_market,0.7114535618165028,1,0.08169348213954275,0.013781711403758373,0.9999999999117193,0.0,0.029876836176522918,0.999999999999999,0.7080307757808698,0.09906646656333115,0.9915509636369055
Qwen/Qwen2.5-14B-Instruct,0.0,4_model_x_launch,0.4169433543966431,2,0.5969263435301737,0.401244174118219,0.9874962348205014,0.5610685009522322,0.8698416405414698,0.9774147879986488,0.7916795202219633,0.5226500886732031,0.9882934312139142
Qwen/Qwen2.5-14B-Instruct,0.0,2_roadster_launch,0.2874101793275671,3,0.9615537191549473,0.02629174105752965,0.9915222683108584,0.9581334988946524,0.05699684294340683,0.9846869031768293,0.7479916780152689,0.2526388342093078,0.971677769765472
Qwen/Qwen2.5-14B-Instruct,0.0,3_model_s_launch,0.17419651260334598,4,0.6626490842582217,0.08851925274682465,0.996853271542915,0.6326380035635977,0.1918974454844472,0.9943161498315387,0.7738565034184205,0.08998182967790622,0.9981849424978122
Qwen/Qwen2.5-14B-Instruct,0.0,6_energy_infra,0.15793170171575682,5,0.9034738520408642,0.22671276750798525,0.9999999999117195,0.894886787710023,0.49148179173995993,0.9999999999999994,0.8851472811376662,0.3383378291437863,0.9626571139451754
Qwen/Qwen2.5-14B-Instruct,0.0,1_founder_period,0.06701313472670695,6,0.7931416795522352,0.12986284542441473,0.9964903891312815,0.7747393529017745,0.28152461218309094,0.9936606851664147,0.8185352094786118,0.3320789833575648,0.989545016599292
Qwen/Qwen2.5-14B-Instruct,0.7,5_model_3_mass_market,0.7033411988104536,1,0.12209828852150106,0.018165879461592326,0.9999999999117193,0.04399925906667483,0.039381103607237594,0.999999999999999,0.7157419661575702,0.06183251073440614,0.7927645982648428
Qwen/Qwen2.5-14B-Instruct,0.7,4_model_x_launch,0.43882224707942546,2,0.6281546954045769,0.3514971049936635,0.9082218647656888,0.5950749587819789,0.7619969040676539,0.8342236418998663,0.823320540345774,0.45624064186406466,0.6174702632601521
