keyword,obs_delta_log_odds,abs_obs_delta,p_value,q_value_fdr,direction
maintained crucial,0.7164372066451747,0.7164372066451747,0.004975124378109453,0.005182421227197346,Specific>Generic
maintains profitability,0.7157818917368068,0.7157818917368068,0.004975124378109453,0.005182421227197346,Specific>Generic
prioritizes maintaining,0.715372954070987,0.715372954070987,0.004975124378109453,0.005182421227197346,Specific>Generic
maintaining reputation,0.7151278251563564,0.7151278251563564,0.004975124378109453,0.005182421227197346,Specific>Generic
essential long,0.7147196658140542,0.7147196658140542,0.004975124378109453,0.005182421227197346,Specific>Generic
maintained scaling,0.7136607203930092,0.7136607203930092,0.004975124378109453,0.005182421227197346,Specific>Generic
compromised scaling,0.7134980958756634,0.7134980958756634,0.004975124378109453,0.005182421227197346,Specific>Generic
trust long,0.7133355485728172,0.7133355485728172,0.004975124378109453,0.005182421227197346,Specific>Generic
stability scaling,0.7131730784273431,0.7131730784273431,0.004975124378109453,0.005182421227197346,Specific>Generic
stability aligning,0.7131730784273431,0.7131730784273431,0.004975124378109453,0.005182421227197346,Specific>Generic
compromised aligning,0.713091872270784,0.713091872270784,0.004975124378109453,0.005182421227197346,Specific>Generic
prudence crucial,0.713091872270784,0.713091872270784,0.004975124378109453,0.005182421227197346,Specific>Generic
sustaining long,0.7130106853821685,0.7130106853821685,0.004975124378109453,0.005182421227197346,Specific>Generic
gradual scaling,0.7130106853821685,0.7130106853821685,0.004975124378109453,0.005182421227197346,Specific>Generic
scaling ensures,0.7129295177543691,0.7129295177543691,0.004975124378109453,0.005182421227197346,Specific>Generic
sustainable growth,0.7129295177543691,0.7129295177543691,0.004975124378109453,0.005182421227197346,Specific>Generic
critical long,0.7129295177543691,0.7129295177543691,0.004975124378109453,0.005182421227197346,Specific>Generic
success maintaining,0.7129295177543691,0.7129295177543691,0.004975124378109453,0.005182421227197346,Specific>Generic
need sustainable,0.7129295177543691,0.7129295177543691,0.004975124378109453,0.005182421227197346,Specific>Generic
profitability critical,0.7129295177543691,0.7129295177543691,0.004975124378109453,0.005182421227197346,Specific>Generic
need financial,0.7129295177543691,0.7129295177543691,0.004975124378109453,0.005182421227197346,Specific>Generic
compromised critical,0.7128483693802572,0.7128483693802572,0.004975124378109453,0.005182421227197346,Specific>Generic
term sustainability,0.7128483693802572,0.7128483693802572,0.004975124378109453,0.005182421227197346,Specific>Generic
aligning long,0.7128483693802572,0.7128483693802572,0.004975124378109453,0.005182421227197346,Specific>Generic
term goals,0.7128483693802572,0.7128483693802572,0.004975124378109453,0.005182421227197346,Specific>Generic
manufacturing partners,-0.6859007979574785,0.6859007979574785,0.004975124378109453,0.005182421227197346,Generic>Specific
utilizing manufacturing,-0.6859007979574785,0.6859007979574785,0.004975124378109453,0.005182421227197346,Generic>Specific
quality financial,-0.6815070905911478,0.6815070905911478,0.004975124378109453,0.005182421227197346,Generic>Specific
partners quickly,-0.6811938945603524,0.6811938945603524,0.004975124378109453,0.005182421227197346,Generic>Specific
quickly scale,-0.681115642252089,0.681115642252089,0.004975124378109453,0.005182421227197346,Generic>Specific
allows rapid,-0.6801420852272697,0.6801420852272697,0.004975124378109453,0.005182421227197346,Generic>Specific
rapidly scale,-0.6797882032647413,0.6797882032647413,0.004975124378109453,0.005182421227197346,Generic>Specific
upfront investment,-0.6783109371469411,0.6783109371469411,0.004975124378109453,0.005182421227197346,Generic>Specific
significant upfront,-0.6783109371469411,0.6783109371469411,0.004975124378109453,0.005182421227197346,Generic>Specific
partners rapidly,-0.6779232899593017,0.6779232899593017,0.004975124378109453,0.005182421227197346,Generic>Specific
production maintaining,-0.6776135031833315,0.6776135031833315,0.004975124378109453,0.005182421227197346,Generic>Specific
scaling compromising,-0.6766859035058603,0.6766859035058603,0.004975124378109453,0.005182421227197346,Generic>Specific
capacity significant,-0.6764544152780854,0.6764544152780854,0.004975124378109453,0.005182421227197346,Generic>Specific
production immediate,-0.6763001810893838,0.6763001810893838,0.004975124378109453,0.005182421227197346,Generic>Specific
immediate investment,-0.6760689666168922,0.6760689666168922,0.004975124378109453,0.005182421227197346,Generic>Specific
investment new,-0.6756839735444462,0.6756839735444462,0.004975124378109453,0.005182421227197346,Generic>Specific
help rapidly,-0.6756839735444462,0.6756839735444462,0.004975124378109453,0.005182421227197346,Generic>Specific
immediate capital,-0.6755301036930392,0.6755301036930392,0.004975124378109453,0.005182421227197346,Generic>Specific
capital investment,-0.6755301036930392,0.6755301036930392,0.004975124378109453,0.005182421227197346,Generic>Specific
new facilities,-0.6755301036930392,0.6755301036930392,0.004975124378109453,0.005182421227197346,Generic>Specific
production significant,-0.6752994352250035,0.6752994352250035,0.004975124378109453,0.005182421227197346,Generic>Specific
capacity maintaining,-0.6749921314313374,0.6749921314313374,0.004975124378109453,0.005182421227197346,Generic>Specific
capacity compromising,-0.6749153508249277,0.6749153508249277,0.004975124378109453,0.005182421227197346,Generic>Specific
capacity immediate,-0.6747618439759853,0.6747618439759853,0.009950248756218905,0.009950248756218905,Generic>Specific
quality ensuring,-0.6743783936665073,0.6743783936665073,0.009950248756218905,0.009950248756218905,Generic>Specific
