strategy,context_variant,rds
Technology Leadership,base,0.11658287048339844
Niche Focus,base,0.18229961395263672
Niche Focus,base,0.1705542802810669
Niche Focus,base,0.1656888723373413
Niche Focus,base,0.05262458324432373
Technology Leadership,competitive_dynamics,0.066977858543396
Niche Focus,competitive_dynamics,0.19350051879882812
Niche Focus,competitive_dynamics,0.13628625869750977
Technology Leadership,count_fact,0.18126320838928223
Niche Focus,count_fact,0.18500566482543945
Niche Focus,count_fact,0.2516445517539978
Niche Focus,count_fact,0.14414960145950317
Niche Focus,count_fact,0.14106976985931396
Technology Leadership,opp_focus,0.11589491367340088
Technology Leadership,opp_focus,0.14495885372161865
Niche Focus,opp_focus,0.13247573375701904
Technology Leadership,randomized_numbers,0.08031052350997925
Niche Focus,randomized_numbers,0.2198237180709839
Niche Focus,randomized_numbers,0.12813758850097656
Niche Focus,randomized_numbers,0.05841773748397827
Niche Focus,randomized_numbers,0.30314362049102783
Technology Leadership,base,0.4584895372390747
Technology Leadership,base,0.05746340751647949
Open Innovation,base,0.21599727869033813
Niche Focus,base,0.2429119348526001
Niche Focus,base,0.3650745153427124
Niche Focus,base,0.17638558149337769
Niche Focus,base,0.21003210544586182
Niche Focus,base,0.16016095876693726
Niche Focus,base,0.27657997608184814
Niche Focus,base,0.16804271936416626
Technology Leadership,competitive_dynamics,0.073810875415802
Technology Leadership,competitive_dynamics,0.5789338946342468
Technology Leadership,competitive_dynamics,0.22388803958892822
Niche Focus,competitive_dynamics,0.1862536072731018
Niche Focus,competitive_dynamics,0.23572945594787598
Niche Focus,competitive_dynamics,0.1952037215232849
Niche Focus,competitive_dynamics,0.2614133358001709
Niche Focus,competitive_dynamics,0.18823683261871338
Niche Focus,competitive_dynamics,0.1583472490310669
Niche Focus,competitive_dynamics,0.17897123098373413
Technology Leadership,count_fact,0.09300661087036133
Open Innovation,count_fact,0.20354408025741577
Niche Focus,count_fact,0.15326035022735596
Niche Focus,count_fact,0.36534905433654785
Niche Focus,count_fact,0.1931312084197998
Niche Focus,count_fact,0.27434563636779785
Niche Focus,count_fact,0.13148105144500732
Niche Focus,count_fact,0.10659849643707275
Niche Focus,count_fact,0.15428197383880615
Niche Focus,count_fact,0.14902806282043457
Technology Leadership,opp_focus,0.07623457908630371
Technology Leadership,opp_focus,0.37352967262268066
Technology Leadership,opp_focus,0.22225439548492432
Technology Leadership,opp_focus,0.13285094499588013
Technology Leadership,opp_focus,0.08379828929901123
Niche Focus,opp_focus,0.26301276683807373
Niche Focus,opp_focus,0.2063502073287964
Niche Focus,opp_focus,0.17382073402404785
Niche Focus,opp_focus,0.19402122497558594
Niche Focus,opp_focus,0.27680468559265137
Niche Focus,opp_focus,0.27797889709472656
Niche Focus,opp_focus,0.2728985548019409
Technology Leadership,randomized_numbers,0.3732096552848816
Niche Focus,randomized_numbers,0.1457938551902771
Niche Focus,randomized_numbers,0.21895349025726318
Niche Focus,randomized_numbers,0.15462535619735718
Niche Focus,randomized_numbers,0.18198281526565552
Niche Focus,randomized_numbers,0.2920999526977539
Niche Focus,randomized_numbers,0.33215880393981934
Niche Focus,randomized_numbers,0.36666303873062134
Niche Focus,randomized_numbers,0.2058420181274414
Niche Focus,randomized_numbers,0.13919353485107422
Technology Leadership,base,0.044190406799316406
Open Innovation,base,0.07168805599212646
Niche Focus,base,0.10188674926757812
Niche Focus,base,0.12501657009124756
Niche Focus,base,0.2619349956512451
Niche Focus,base,0.11282491683959961
Niche Focus,base,0.11314499378204346
Niche Focus,base,0.20568275451660156
Niche Focus,base,0.2754511833190918
Niche Focus,base,0.201643705368042
Technology Leadership,competitive_dynamics,0.16077077388763428
Technology Leadership,competitive_dynamics,0.08483654260635376
Niche Focus,competitive_dynamics,0.34964144229888916
Niche Focus,competitive_dynamics,0.12075912952423096
Niche Focus,competitive_dynamics,0.19660496711730957
Niche Focus,competitive_dynamics,0.1727529764175415
Niche Focus,competitive_dynamics,0.10957497358322144
Niche Focus,competitive_dynamics,0.21604323387145996
Niche Focus,competitive_dynamics,0.23415005207061768
Niche Focus,competitive_dynamics,0.1751415729522705
Niche Focus,competitive_dynamics,0.26215261220932007
Open Innovation,count_fact,0.14388012886047363
Niche Focus,count_fact,0.2771965265274048
Niche Focus,count_fact,0.16857093572616577
Niche Focus,count_fact,0.22561514377593994
Niche Focus,count_fact,0.32311052083969116
Niche Focus,count_fact,0.20113492012023926
Niche Focus,count_fact,0.22148847579956055
Niche Focus,count_fact,0.24770426750183105
Niche Focus,count_fact,0.2082831859588623
Niche Focus,count_fact,0.1655198335647583
Niche Focus,count_fact,0.18352562189102173
Niche Focus,count_fact,0.2589506506919861
Niche Focus,count_fact,0.3532715439796448
Technology Leadership,opp_focus,0.20544397830963135
Technology Leadership,opp_focus,0.16853582859039307
Technology Leadership,opp_focus,0.16442513465881348
Technology Leadership,opp_focus,0.13831853866577148
Technology Leadership,opp_focus,0.20436334609985352
Technology Leadership,opp_focus,0.1263495683670044
Technology Leadership,opp_focus,0.4198459982872009
Niche Focus,opp_focus,0.1488814353942871
Niche Focus,opp_focus,0.158563494682312
Niche Focus,opp_focus,0.15334242582321167
Niche Focus,opp_focus,0.18041616678237915
Niche Focus,opp_focus,0.21188515424728394
Technology Leadership,randomized_numbers,0.17464041709899902
Technology Leadership,randomized_numbers,0.11592304706573486
Niche Focus,randomized_numbers,0.13140976428985596
Niche Focus,randomized_numbers,0.1981450915336609
Niche Focus,randomized_numbers,0.13127893209457397
Niche Focus,randomized_numbers,0.12926673889160156
Niche Focus,randomized_numbers,0.1987338662147522
Niche Focus,randomized_numbers,0.34488093852996826
Niche Focus,randomized_numbers,0.21290743350982666
Niche Focus,randomized_numbers,0.26259303092956543
Niche Focus,randomized_numbers,0.14862680435180664
Niche Focus,randomized_numbers,0.035264432430267334
Niche Focus,randomized_numbers,0.15832608938217163
Niche Focus,base,0.1884368658065796
Niche Focus,base,0.2574087381362915
Niche Focus,base,0.29370999336242676
Niche Focus,base,0.1708381175994873
Niche Focus,base,0.23670482635498047
Niche Focus,base,0.1649172306060791
Niche Focus,competitive_dynamics,0.29204893112182617
Niche Focus,competitive_dynamics,0.19538670778274536
Niche Focus,competitive_dynamics,0.1026543378829956
Niche Focus,competitive_dynamics,0.2063732147216797
Niche Focus,competitive_dynamics,0.21175861358642578
Niche Focus,count_fact,0.2564586400985718
Niche Focus,count_fact,0.21843034029006958
Niche Focus,count_fact,0.07534211874008179
Niche Focus,count_fact,0.22487634420394897
Niche Focus,count_fact,0.13509505987167358
Niche Focus,count_fact,0.1691727638244629
Niche Focus,count_fact,0.19198858737945557
Niche Focus,count_fact,0.1571575403213501
Niche Focus,count_fact,0.140425443649292
Niche Focus,count_fact,0.2952134609222412
Niche Focus,count_fact,0.21183526515960693
Technology Leadership,opp_focus,0.16886556148529053
Technology Leadership,opp_focus,0.24443858861923218
Technology Leadership,opp_focus,0.1756332516670227
Technology Leadership,opp_focus,0.2170405387878418
Technology Leadership,opp_focus,0.33801835775375366
Technology Leadership,opp_focus,0.22397971153259277
Technology Leadership,opp_focus,0.34376752376556396
Niche Focus,opp_focus,0.17332863807678223
Niche Focus,opp_focus,0.20098477602005005
Niche Focus,opp_focus,0.1921015977859497
Niche Focus,randomized_numbers,0.15098106861114502
Niche Focus,randomized_numbers,0.16970211267471313
Niche Focus,randomized_numbers,0.20369493961334229
Niche Focus,randomized_numbers,0.13923180103302002
Niche Focus,randomized_numbers,0.17287784814834595
Niche Focus,randomized_numbers,0.10667145252227783
